Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,"Virtual Relationship Manager(outbound sales) with Axis Bank, Mumbai",Axis Bank Limited,1-6 Yrs,"3,00,000 - 6,50,000 PA.","Noida, Mumbai (All Areas)",b' Work From Home Manage the liability product acquisition thru leads from digital channel...',"['Client Onboarding', 'Outbound Sales', 'Client Acquisition', 'Telecalling', 'Phone Banking', 'Sales Management', 'Outbound Process', 'Banking Sales']",2021-03-26,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Phone Banking Officer,ICICI Bank Ltd,0-3 Yrs,Not disclosed,"Thane, Hyderabad/Secunderabad, Chennai",b' Open to work in rotational shifts The Phone Banking Officer is responsible for providin...',"['Customer Service', 'Spoken English', 'Key Skills', 'Cross Selling', 'Finance', 'Phone Banking', 'Customer Interaction', 'Customer Complaints']",2021-03-16,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Hiring For Bank Officer (CASA and Current Account Sales),AU SMALL FINANCE BANK Limited,0-4 Yrs,Not disclosed,Jaipur,b' Candidate should be comfortable for Sales job including Customer Visits / Market Visits',"['CASA', 'Field Sales', 'Fixed Deposits', 'Insurance', 'Current Account', 'Branch Banking']",2021-03-16,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Business Banking Relationship Manager- Gurgaon and Sonipat,HDFC Bank Limited,5-10 Yrs,Not disclosed,"Sonipat/Sonepat, Gurgaon/Gurugram",b' Applicant must have working experience of at-least 5-6 years in relevant profileComplet...',"['Business Banking', 'SME Sales', 'Working Capital Management']",2021-03-25,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Business Banking/Working Capital Relationship Manager-UP&Uttarakhand,HDFC Bank Limited,4-9 Yrs,"4,00,000 - 8,00,000 PA.","Ghaziabad, Kanpur, Lucknow",b' Full time graduation / PG or CA',"['Business Banking', 'Relationship Management', 'Working Capital', 'Service Quality']",2021-03-21,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Urgent Job Opening at Axis Bank (for Male)  -Under Quess Payroll,Axis Bank Limited,0-5 Yrs,"1,00,000 - 4,00,000 PA.","Neyveli, Chidambaram, Nagapattinam, Tiruvannamalai, Panruti, Cuddalore, Virudhachalam, Villupuram/Viluppuram, Sirkali","b' We required Male Candidates only Freshers also can apply, Reliving Letter & Payslip ( F...'","['Retail Sales', 'Sales', 'Banking']",2021-03-27,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Urgent Job Opening at Axis Bank (for Male)  -Under Quess Payroll,Axis Bank Limited,0-3 Yrs,"1,50,000 - 4,00,000 PA.","Chengalpattu, Tambaram, Chennai","b' Employment Type: Full Time, PermanentFreshers also can apply, Reliving Letter & Payslip...'","['Retail Sales', 'Sales', 'Banking']",2021-03-27,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Openings For Sales officer @ Axis Bank (vendor payroll)_ Shakarnagar,Axis Bank Limited,0-5 Yrs,"2,50,000 - 2,75,000 PA.",Bangalore/Bengaluru(Jalahalli +4),b' 5 years of sales experience (Fresher can apply)Qualification Graduation is not mandator...',"['Sales', 'Business Loan', 'Market Penetration', 'Cross Selling', 'Banking', 'Customer Satisfaction', 'Lap', 'LI']",2021-03-22,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Openings For Sales officer @ Axis Bank(vendor payroll)_Sahakarnagar,Axis Bank Limited,0-4 Yrs,"2,25,000 - 2,75,000 PA.",Bangalore/Bengaluru(Jalahalli East +5),b' 5 years of sales experience (Fresher can apply)Qualification Graduation is not mandator...',"['Sales', 'Business Loan', 'Market Penetration', 'Cross Selling', 'Banking', 'Customer Satisfaction', 'Lap', 'LI']",2021-03-15,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Sales Officer @Axis Bank on partner's role (Quess Corp),Axis Bank Limited,0-4 Yrs,"90,000 - 1,50,000 PA.","Bhopal, Gwalior, Sagar",b' Any GraduatesMin 6 Months to 8 Years Field sales experience loan Sales experience will ...',['Sales'],2021-03-25,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,LOAN OFFICER_AXIS Bank (Partner PAY Rolls),Axis Bank Limited,0-5 Yrs,"50,000 - 1,50,000 PA.","Mohali, Chandigarh",b' Roles and Responsibilities :Loan officer will be responsible for selling multiple loan ...',"['Sales', 'Client Relationship Management', 'Automobile Sales', 'Distributor Sales', 'Postpaid Sales', 'Channel Sales', 'Institutional Sales', 'B2B Sales']",2021-03-23,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Hiring For Relationship manager - Employee Banking- SCB,Standard Chartered Bank,3-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",b' Greetings!! We are Hiring for Relationship Manager - Employee BankingLocation: Chennai/...',"['Account Opening', 'Relationship Management', 'Employee Banking', 'Corporate Banking']",2021-03-27,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Urgent Opening For Sr Relationship Managers and RM's - Indusind Bank,INDUSIND BANK LIMITED,4-9 Yrs,"6,00,000 - 10,00,000 PA.",Delhi / NCR,b' We are hiring Sr Relationship Managers and Relationship for Delhi NCR Region. If intere...',['Relationship Manager'],2021-03-26,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Axis Bank : CBG :Sales Manager : Uttar Pradesh,Axis Bank Limited,4-8 Yrs,"5,00,000 - 10,00,000 PA.","Varanasi/Benaras, Lucknow, Uttar Pradesh",b' Graduation with more than 5-8 years of experience Good communication (both verbal and w...',"['Commercial Banking', 'Forex Trading', 'Working Capital Finance', 'SME', 'Sales Management', 'New Business', 'Cash Management', 'WC']",2021-03-19,2021-03-29
Content Writing Jobs,https://www.naukri.com/content-writing-jobs?xt=catsrch&qf[]=5,Psychology - Academic Content Writer || Work from Home,Evelyn learning Systems Pvt ltd,0-2 Yrs,"1,75,000 - 2,50,000 PA.","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",b' Good knowledge in statistics (Descriptive and Inferential Statistics)and must be a quic...',"['content development', 'psychology teacher', 'Subject Matter Expertise', 'psychology faculty', 'Psychology', 'content writing', 'Freshers']",2021-03-20,2021-03-29
Content Writing Jobs,https://www.naukri.com/content-writing-jobs?xt=catsrch&qf[]=5,Proposal Content Writers Work From Home Urgent Hiring,Solvoguru,0-3 Yrs,"2,00,000 - 4,00,000 PA.","Hissar/Hisar, Delhi / NCR, Mumbai (All Areas)",b' Can work in shift (Day / Night) Work from homeFreshers with great English skills are we...',"['Online Bidding', 'Proposal Writing', 'SEO Writing', 'guru', 'Proposal Preparation', 'Creative Writing', 'Social Media', 'upwork']",2021-03-17,2021-03-29
